Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature List
------------------------------

nFeatures = 100

feature | (x,y)=val
--------+---------------------
      0 | ( 76.3, 71.0)=    0 
      1 | (241.9, 89.0)=    0 
      2 | (252.9, 98.0)=    0 
      3 | (269.9, 73.0)=    0 
      4 | ( 92.0,137.9)=    0 
      5 | (273.2,146.0)=    0 
      6 | (256.8, 73.0)=    0 
      7 | (236.9, 71.9)=    0 
      8 | (252.9,145.0)=    0 
      9 | (266.8, 94.0)=    0 
     10 | ( -1.0, -1.0)=   -5 
     11 | ( 92.0,117.0)=    0 
     12 | (290.8, 85.0)=    0 
     13 | (282.2,196.2)=    0 
     14 | (246.9, 73.0)=    0 
     15 | (145.8,121.9)=    0 
     16 | ( -1.0, -1.0)=   -5 
     17 | (105.0,112.0)=    0 
     18 | (163.3,188.9)=    0 
     19 | (252.9,109.0)=    0 
     20 | ( 85.5,165.9)=    0 
     21 | (106.1,140.9)=    0 
     22 | (132.4,122.0)=    0 
     23 | ( 85.5,176.9)=    0 
     24 | ( -1.0, -1.0)=   -5 
     25 | (137.8, 97.9)=    0 
     26 | ( 82.4, 90.0)=    0 
     27 | (110.7, 62.0)=    0 
     28 | (282.9,113.0)=    0 
     29 | (105.2,211.8)=    0 
     30 | (262.8,106.0)=    0 
     31 | (279.1,160.2)=    0 
     32 | (121.9,206.9)=    0 
     33 | (146.8, 60.0)=    0 
     34 | ( 94.0,213.9)=    0 
     35 | (251.9, 88.0)=    0 
     36 | ( 47.4, 63.9)=    0 
     37 | (150.4,194.9)=    0 
     38 | (151.8,102.9)=    0 
     39 | ( -1.0, -1.0)=   -4 
     40 | (266.9,204.2)=    0 
     41 | (246.5,184.2)=    0 
     42 | (197.0, 37.0)=    0 
     43 | (200.9, 69.9)=    0 
     44 | (265.9,214.1)=    0 
     45 | (156.8, 60.0)=    0 
     46 | (248.9,210.1)=    0 
     47 | (134.7, 58.0)=    0 
     48 | ( -1.0, -1.0)=   -4 
     49 | (211.8,198.1)=    0 
     50 | (193.6,200.0)=    0 
     51 | ( -1.0, -1.0)=   -5 
     52 | (290.8,102.0)=    0 
     53 | ( 82.4,104.7)=    0 
     54 | (264.8, 83.0)=    0 
     55 | (127.2,153.9)=    0 
     56 | ( 52.1,141.8)=    0 
     57 | ( 63.0,127.8)=    0 
     58 | (258.8,128.0)=    0 
     59 | (178.9, 47.0)=    0 
     60 | (178.8,113.4)=    0 
     61 | ( 72.2,186.7)=    0 
     62 | ( -1.0, -1.0)=   -4 
     63 | (238.8,204.1)=    0 
     64 | ( 46.1,126.9)=    0 
     65 | (160.1,203.0)=    0 
     66 | (221.8,202.2)=    0 
     67 | ( 66.1,137.8)=    0 
     68 | (134.8, 82.0)=    0 
     69 | (105.1,130.9)=    0 
     70 | (221.0, 57.0)=    0 
     71 | ( 65.1,149.8)=    0 
     72 | (179.4,100.7)=    0 
     73 | ( 97.0,150.9)=    0 
     74 | ( 33.1,115.8)=    0 
     75 | (248.7,165.1)=    0 
     76 | (247.3,125.9)=    0 
     77 | ( 42.2,144.8)=    0 
     78 | (192.9,187.0)=    0 
     79 | (214.2,212.2)=    0 
     80 | ( 62.2,187.8)=    0 
     81 | (115.2,115.0)=    0 
     82 | ( -1.0, -1.0)=   -4 
     83 | (226.8,212.1)=    0 
     84 | (147.7, 90.0)=    0 
     85 | ( 89.3, 40.9)=    0 
     86 | (163.8, 70.0)=    0 
     87 | (290.9,148.1)=    0 
     88 | ( -1.0, -1.0)=   -4 
     89 | (155.8,118.0)=    0 
     90 | ( 66.2,172.9)=    0 
     91 | (273.0,116.7)=    0 
     92 | ( 78.2,214.7)=    0 
     93 | ( 72.1,196.8)=    0 
     94 | (222.0, 40.0)=    0 
     95 | (136.7, 68.9)=    0 
     96 | (257.0,190.6)=    0 
     97 | (237.4, 99.3)=    0 
     98 | (179.8, 86.9)=    0 
     99 | ( 52.1,151.7)=    0 
