Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature List
------------------------------

nFeatures = 100

feature | (x,y)=val
--------+-----------------
      0 | ( 81, 71)=27018 
      1 | (255, 97)=25592 
      2 | (244, 89)=24981 
      3 | (280, 74)=21344 
      4 | (268, 91)=19928 
      5 | (264, 74)=19732 
      6 | (295, 85)=19319 
      7 | (239, 72)=18921 
      8 | (252, 74)=18552 
      9 | (279, 89)=18305 
     10 | (286,196)=16907 
     11 | (255,109)=16890 
     12 | ( 95,138)=16341 
     13 | (277,146)=15939 
     14 | ( 95,117)=15580 
     15 | (108,112)=15341 
     16 | (256,145)=14896 
     17 | (109,140)=13759 
     18 | (170,190)=13575 
     19 | (287,113)=12099 
     20 | (265,107)=11765 
     21 | ( 90,148)=11388 
     22 | (198, 37)=10997 
     23 | (148,123)=10774 
     24 | (135,121)=10406 
     25 | ( 87, 90)=10226 
     26 | (202, 70)=10118 
     27 | ( 90,166)= 9640 
     28 | (140, 98)= 9477 
     29 | (272,203)= 9277 
     30 | (283,160)= 9255 
     31 | (199,197)= 8888 
     32 | (271,214)= 8832 
     33 | (250,184)= 8812 
     34 | (126,207)= 8762 
     35 | ( 90,177)= 8683 
     36 | (288,211)= 8632 
     37 | (155,195)= 8617 
     38 | (149, 60)= 7894 
     39 | (295,101)= 7853 
     40 | (113, 63)= 7669 
     41 | (109,213)= 7109 
     42 | ( 87,105)= 6851 
     43 | ( 24,137)= 6828 
     44 | ( 49, 65)= 6624 
     45 | ( 98,214)= 6433 
     46 | (278,128)= 6374 
     47 | (154,103)= 6360 
     48 | (261,214)= 6280 
     49 | ( 39,116)= 6246 
     50 | (217,200)= 6095 
     51 | ( 77,187)= 5997 
     52 | (159, 60)= 5499 
     53 | (223, 57)= 5308 
     54 | (261,128)= 5124 
     55 | ( 57,142)= 5119 
     56 | (100,150)= 5038 
     57 | ( 28, 71)= 5035 
     58 | (130,154)= 4979 
     59 | (137, 58)= 4932 
     60 | (254, 87)= 4865 
     61 | ( 68,128)= 4839 
     62 | (260,203)= 4815 
     63 | (221,211)= 4781 
     64 | ( 27,105)= 4646 
     65 | (244,204)= 4585 
     66 | (118,115)= 4298 
     67 | ( 83,215)= 4232 
     68 | (165,204)= 4175 
     69 | ( 51,127)= 4084 
     70 | (227,201)= 3876 
     71 | (231,211)= 3682 
     72 | (183,114)= 3626 
     73 | ( 70,150)= 3445 
     74 | (295,148)= 3437 
     75 | ( 70,138)= 3412 
     76 | (251,126)= 3389 
     77 | ( 47,145)= 3323 
     78 | (181, 47)= 3303 
     79 | (277,116)= 3203 
     80 | (252,165)= 3145 
     81 | (108,122)= 3054 
     82 | (224, 40)= 3046 
     83 | (229, 74)= 3040 
     84 | (137, 82)= 2837 
     85 | ( 63,185)= 2760 
     86 | ( 73,116)= 2709 
     87 | ( 51,163)= 2697 
     88 | (183,100)= 2686 
     89 | (198,187)= 2601 
     90 | ( 71,173)= 2593 
     91 | ( 85,205)= 2566 
     92 | (242,214)= 2367 
     93 | ( 80,149)= 2357 
     94 | (130,108)= 2349 
     95 | (116,203)= 2254 
     96 | (209,190)= 2230 
     97 | (210,136)= 2186 
     98 | (235,107)= 2122 
     99 | (129,131)= 2111 
